neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G,02,18,G1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G1802""",LEFT,2,2,1960,"2,500,000.00",5/16/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,07,16,H1607,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1607""",MIDDLE,1,1,1960,"799,000.00",1/21/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,06,3,E306,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E306""",MIDDLE,3,1.5,1960,"1,325,000.00",1/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,01,18,L1801,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1801""",MIDDLE,2,1,1960,"1,860,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,08,19,B1908,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1908""",MIDDLE,1,1,1960,"775,000.00",2/12/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,02,9,J902,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J902""",RIGHT,2,2,1960,"1,850,000.00",1/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,01,18,J1801,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1801""",RIGHT,2,2,1960,"1,616,000.00",12/15/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,03,18,H1803,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1803""",MIDDLE,1,1,1960,"687,500.00",3/17/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,01,11,F1101,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1101""",LEFT,3,1.5,1960,"1,285,000.00",4/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,02,1,H102,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H102""",MIDDLE,studio,1,1960,"459,000.00",4/30/2020
