neighborhood,zip,building_class,address,unit,url,floor,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G1802""",18,LEFT,2,2,1960,"2,500,000.00",5/16/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1607,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1607""",16,MIDDLE,1,1,1960,"799,000.00",1/21/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E306,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E306""",3,MIDDLE,3,1.5,1960,"1,325,000.00",1/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L1801,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1801""",18,MIDDLE,2,1,1960,"1,860,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B1908,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1908""",19,MIDDLE,1,1,1960,"775,000.00",2/12/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J902,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J902""",9,RIGHT,2,2,1960,"1,850,000.00",1/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J1801,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1801""",18,RIGHT,2,2,1960,"1,616,000.00",12/15/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1803,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1803""",18,MIDDLE,1,1,1960,"687,500.00",3/17/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F1101,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1101""",11,LEFT,3,1.5,1960,"1,285,000.00",4/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H102,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H102""",1,MIDDLE,studio,1,1960,"459,000.00",4/30/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND ST,K401,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+ST""+""K401""",4,RIGHT,1,1,1960,"645,000.00",5/18/2020
