neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,02,18,G1802,https://streeteasy.com/building/208-212-east-broadway-building-3/g18023,LEFT,2,2,1960,"2,500,000.00",5/16/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,07,16,H1607,https://streeteasy.com/building/208-212-east-broadway-building-3/h1607,MIDDLE,1,1,1960,"799,000.00",1/21/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,06,3,E306,https://streeteasy.com/building/413-417-grand-st-building-2/e306,MIDDLE,3,1.5,1960,"1,325,000.00",1/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,01,18,L1801,https://streeteasy.com/building/383-387-grand-st-building-4/l1801,MIDDLE,2,1,1960,"1,860,000.00",4/14/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,08,19,B1908,https://streeteasy.com/building/264-268-east-broadway-building-1/b1908,MIDDLE,1,1,1960,"775,000.00",2/12/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,02,9,J902,https://streeteasy.com/building/208-212-east-broadway-building-3/j902,RIGHT,2,2,1960,"1,850,000.00",1/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,01,18,J1801,https://streeteasy.com/building/208-212-east-broadway-building-3/j1801,RIGHT,2,2,1960,"1,616,000.00",12/15/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,03,18,H1803,https://streeteasy.com/building/208-212-east-broadway-building-3/h1803,MIDDLE,1,1,1960,"687,500.00",3/17/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,01,11,F1101,https://streeteasy.com/building/413-417-grand-st-building-2/f1101,LEFT,3,1.5,1960,"1,285,000.00",4/28/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,02,1,H102,https://streeteasy.com/building/208-212-east-broadway-building-3/h102,MIDDLE,studio,1,1960,"459,000.00",4/30/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,01,4,K401,https://streeteasy.com/building/383-387-grand-st-building-4/k401,RIGHT,1,1,1960,"645,000.00",5/18/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,03,16,E1603,https://streeteasy.com/building/413-417-grand-st-building-2/e1603,MIDDLE,3,1.5,1960,"1,770,000.00",5/26/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,04,1,E104,https://streeteasy.com/building/413-417-grand-st-building-2/e104,MIDDLE,1,1,1960,"685,000.00",5/29/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,04,10,B1004,https://streeteasy.com/building/264-268-east-broadway-building-1/b1004,MIDDLE,1,1,1960,"765,000.00",6/23/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,05,10,B1005,https://streeteasy.com/building/264-268-east-broadway-building-1/b1005,MIDDLE,1,1,1960,"665,000.00",6/23/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,04,17,G1704,https://streeteasy.com/building/208-212-east-broadway-building-3/g1704,LEFT,2,1,1960,"1,475,000.00",3/10/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,05,2,L205,https://streeteasy.com/building/383-387-grand-st-building-4/l205,MIDDLE,1,1,1960,"695,000.00",7/9/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,02,6,L602,https://streeteasy.com/building/383-387-grand-st-building-4/l602,MIDDLE,studio,1,1960,"520,000.00",7/13/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,04,3,L304,https://streeteasy.com/building/383-387-grand-st-building-4/l304,MIDDLE,1,1,1960,"715,000.00",8/6/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,02,19,B1902,https://streeteasy.com/building/264-268-east-broadway-building-1/b1902,MIDDLE,studio,1,1960,"475,000.00",8/13/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,02,14,L1402,https://streeteasy.com/building/383-387-grand-st-building-4/l1402,MIDDLE,studio,1,1960,"245,000.00",8/21/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,06,8,K806,https://streeteasy.com/building/383-387-grand-st-building-4/k806,RIGHT,2,1,1960,"1,425,000.00",5/6/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,01,6,M601,https://streeteasy.com/building/383-387-grand-st-building-4/m601,LEFT,3,4,1960,"1,387,000.00",9/10/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,04,1,K104,https://streeteasy.com/building/383-387-grand-st-building-4/k104,RIGHT,2,1,1960,"975,000.00",4/19/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,04,12,L1204,https://streeteasy.com/building/383-387-grand-st-building-4/l1204,MIDDLE,1,1,1960,"700,000.00",10/1/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,03,14,C1403,https://streeteasy.com/building/264-268-east-broadway-building-1/c1403,RIGHT,1,1,1960,"775,000.00",10/13/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,03,14,H1403,https://streeteasy.com/building/208-212-east-broadway-building-3/h1403,MIDDLE,1,1,1960,"700,000.00",10/22/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,03,11,L1103,https://streeteasy.com/building/383-387-grand-st-building-4/l1103,MIDDLE,3,2,1960,"1,700,000.00",10/29/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,07,12,M1207,https://streeteasy.com/building/383-387-grand-st-building-4/m1207,LEFT,2,1,1960,"1,295,000.00",7/28/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,06,11,K1106,https://streeteasy.com/building/383-387-grand-st-building-4/k1106,RIGHT,2,1,1960,"1,250,000.00",10/13/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,01,19,A1901,https://streeteasy.com/building/264-268-east-broadway-building-1/a1901,LEFT,2,1,1960,"1,210,000.00",9/29/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,02,6,E602,https://streeteasy.com/building/413-417-grand-st-building-2/e602,MIDDLE,studio,1,1960,"450,000.00",11/22/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,07,8,K807,https://streeteasy.com/building/383-387-grand-st-building-4/k807,RIGHT,2,1,1960,"1,200,000.00",2/9/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,04,16,B1604,https://streeteasy.com/building/264-268-east-broadway-building-1/b1604,MIDDLE,1,1,1960,"750,000.00",12/11/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,02,14,B1402,https://streeteasy.com/building/264-268-east-broadway-building-1/b1402,MIDDLE,studio,1,1960,"455,000.00",12/15/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,3,G,06,17,G1706,https://streeteasy.com/building/208-212-east-broadway-building-3/g1706,LEFT,2,1,1960,"1,195,000.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,04,13,L1304,https://streeteasy.com/building/383-387-grand-st-building-4/l1304,MIDDLE,1,1,1960,"740,000.00",12/18/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,05,1,L105,https://streeteasy.com/building/383-387-grand-st-building-4/l105,MIDDLE,1,1,1960,"669,000.00",1/11/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,08,2,H208,https://streeteasy.com/building/208-212-east-broadway-building-3/h208,MIDDLE,1,1,1960,"728,000.00",1/15/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,02,12,D1202,https://streeteasy.com/building/413-417-grand-st-building-2/d1202,RIGHT,1,1,1960,"720,000.00",1/19/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,07,10,C1007,https://streeteasy.com/building/264-268-east-broadway-building-1/c1007,RIGHT,2,1,1960,"1,175,000.00",11/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,06,5,C506,https://streeteasy.com/building/264-268-east-broadway-building-1/c506,RIGHT,2,1,1960,"1,100,000.00",12/15/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,02,9,B902,https://streeteasy.com/building/264-268-east-broadway-building-1/b902,MIDDLE,studio,1,1960,"449,000.00",2/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,2,F,01,9,F901,https://streeteasy.com/building/413-417-grand-st-building-2/f901,LEFT,3,1.5,1960,"1,285,000.00",2/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,4,L,04,20,L2004,https://streeteasy.com/building/383-387-grand-st-building-4/l2004,MIDDLE,1,1,1960,"660,000.00",2/1/2021
